db_type,release,organism,source,missing_meta,missing_coord
vertebrates,89,echinops_telfairi,dir,1,0
vertebrates,89,equus_caballus,dir,1,0
vertebrates,89,erinaceus_europaeus,dir,1,0
vertebrates,89,felis_catus,dir,1,0
vertebrates,89,ficedula_albicollis,dir,1,0
vertebrates,89,gadus_morhua,dir,1,0
vertebrates,89,gallus_gallus,dir,1,0
vertebrates,89,gasterosteus_aculeatus,dir,1,0
vertebrates,89,gorilla_gorilla,dir,1,0
vertebrates,89,homo_sapiens,dir,1,0
vertebrates,89,ictidomys_tridecemlineatus,dir,1,0
vertebrates,89,latimeria_chalumnae,dir,1,0
vertebrates,89,lepisosteus_oculatus,dir,1,0
vertebrates,89,loxodonta_africana,dir,1,0
vertebrates,89,macaca_mulatta,dir,1,0
vertebrates,89,meleagris_gallopavo,dir,1,0
vertebrates,89,microcebus_murinus,dir,1,0
vertebrates,89,monodelphis_domestica,dir,1,0
vertebrates,89,mus_musculus,dir,1,0
vertebrates,89,mus_musculus_129s1svimj,dir,1,0
vertebrates,89,mus_musculus_aj,dir,1,0
vertebrates,89,mus_musculus_akrj,dir,1,0
vertebrates,89,mus_musculus_balbcj,dir,1,0
vertebrates,89,mus_musculus_c3hhej,dir,1,0
vertebrates,89,mus_musculus_c57bl6nj,dir,1,0
vertebrates,89,mus_musculus_casteij,dir,1,0
vertebrates,89,mus_musculus_cbaj,dir,1,0
vertebrates,89,mus_musculus_dba2j,dir,1,0
vertebrates,89,mus_musculus_fvbnj,dir,1,0
vertebrates,89,mus_musculus_lpj,dir,1,0
vertebrates,89,mus_musculus_nodshiltj,dir,1,0
vertebrates,89,mus_musculus_nzohlltj,dir,1,0
vertebrates,89,mus_musculus_pwkphj,dir,1,0
vertebrates,89,mus_musculus_wsbeij,dir,1,0
vertebrates,89,mus_spretus_spreteij,dir,1,0
vertebrates,89,mustela_putorius_furo,dir,1,0
vertebrates,89,myotis_lucifugus,dir,1,0
vertebrates,89,nomascus_leucogenys,dir,1,0
vertebrates,89,notamacropus_eugenii,dir,1,0
vertebrates,89,ochotona_princeps,dir,1,0
vertebrates,89,oreochromis_niloticus,dir,1,0
vertebrates,89,ornithorhynchus_anatinus,dir,1,0
vertebrates,89,oryctolagus_cuniculus,dir,1,0
vertebrates,89,oryzias_latipes,dir,1,0
vertebrates,89,otolemur_garnettii,dir,1,0
vertebrates,89,ovis_aries,dir,1,0
vertebrates,89,pan_troglodytes,dir,1,0
vertebrates,89,papio_anubis,dir,1,0
vertebrates,89,pelodiscus_sinensis,dir,1,0
vertebrates,89,petromyzon_marinus,dir,1,0
vertebrates,89,poecilia_formosa,dir,1,0
vertebrates,89,pongo_abelii,dir,1,0
vertebrates,89,procavia_capensis,dir,1,0
vertebrates,89,pteropus_vampyrus,dir,1,0
vertebrates,89,rattus_norvegicus,dir,1,0
vertebrates,89,saccharomyces_cerevisiae,dir,1,0
vertebrates,89,sarcophilus_harrisii,dir,1,0
vertebrates,89,sorex_araneus,dir,1,0
vertebrates,89,sus_scrofa,dir,1,0
vertebrates,89,taeniopygia_guttata,dir,1,0
vertebrates,89,takifugu_rubripes,dir,1,0
vertebrates,89,tetraodon_nigroviridis,dir,1,0
vertebrates,89,tupaia_belangeri,dir,1,0
vertebrates,89,tursiops_truncatus,dir,1,0
vertebrates,89,vicugna_pacos,dir,1,0
vertebrates,89,xenopus_tropicalis,dir,1,0
vertebrates,89,xiphophorus_maculatus,dir,1,0
vertebrates,91,ailuropoda_melanoleuca,tgz-only,1,1
vertebrates,91,anas_platyrhynchos,tgz-only,1,1
vertebrates,91,anolis_carolinensis,tgz-only,1,1
vertebrates,91,aotus_nancymaae,tgz-only,1,1
vertebrates,91,astyanax_mexicanus,tgz-only,1,1
vertebrates,91,bos_taurus,tgz-only,1,1
vertebrates,91,caenorhabditis_elegans,tgz-only,1,1
